_sex_f,_charge_o,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_race_b,_sex_m,_bookings,pop2010_18over,pop2010,name,slug,_cost
92,1,187,158,4451,61,211,42,32,254,346,32481,41967,Rancho Palos Verdes,rancho-palos-verdes,589546.3
46,0,162,101,3943,1,90,171,1,217,263,2673,3569,Avalon,avalon,522297.26
4101,212,6297,9812,589672,208,4648,4387,7078,12220,16321,106153,151745,Lancaster,lancaster,78061102.28
255,6,538,465,18691,108,537,296,68,754,1009,112806,144402,Torrance,torrance,2474637.5
1714,185,5098,5059,217265,39,126,10106,71,8628,10342,86000,125606,East Los Angeles,east-los-angeles,28761863.62
19,1,48,47,1687,5,57,24,10,77,96,11224,13694,Shadow Hills,shadow-hills,223647.98
494,53,1100,1024,43405,16,46,2067,48,1683,2177,61811,90048,Boyle Heights,boyle-heights,5746276.82
325,15,903,749,31481,27,51,1558,31,1342,1667,13633,19703,South San Jose Hills,south-san-jose-hills,4167777.7
3,0,20,8,94,1,18,8,1,25,28,0,0,Hasley Canyon,hasley-canyon,12766.64
582,34,1629,1518,60785,36,293,2424,428,2599,3181,36468,54098,Paramount,paramount,8047041.22
18,0,34,22,306,6,18,28,4,38,56,19620,25616,South Pasadena,south-pasadena,40831.2
49,2,113,131,9344,1,109,102,34,197,246,2254,3259,Desert View Highlands,desert-view-highlands,1237281.64
716,41,2098,2884,110947,27,83,3911,1002,4307,5023,46137,68736,Lynwood,lynwood,14687486.78
29,1,67,42,2348,2,83,24,1,81,110,16423,21499,Agua Dulce,agua-dulce,311151.16
56,3,145,114,4147,43,187,28,4,206,262,16389,21442,La Crescenta-Montrose,la-crescenta-montrose,549302.78
91,6,201,188,7019,61,65,243,26,304,395,17967,24085,East San Gabriel,east-san-gabriel,929498.14
186,27,461,563,28830,33,218,345,455,865,1051,40099,43052,Downtown,downtown,3816838.32
151,5,310,278,10920,38,168,278,109,442,593,17531,23727,Harbor City,harbor-city,1445912.52
26,0,41,41,1510,15,58,7,2,56,82,5312,6914,Rolling Hills Estates,rolling-hills-estates,200216.72
11,0,28,36,1330,6,6,42,10,53,64,14644,16437,Chinatown,chinatown,176388.32
117,10,491,370,17494,33,353,239,246,754,871,61930,71133,Hollywood,hollywood,2316178.64
58,0,106,148,8755,4,171,54,25,196,254,5430,7037,Northwest Antelope Valley,northwest-antelope-valley,1159309.82
525,34,1170,1488,51979,24,123,1260,1285,2167,2692,81057,110579,Inglewood,inglewood,6881302.94
14,2,27,18,1151,2,14,12,19,33,47,10056,11233,Playa del Rey,playa-del-rey,152692.3
1,1,11,8,37,2,16,2,0,19,20,10325,13438,Palos Verdes Estates,palos-verdes-estates,5220.98
20,1,28,29,1422,1,12,42,3,38,58,11963,15198,Mount Washington,mount-washington,188567.28
45,0,107,85,1980,17,128,28,19,147,192,28053,35997,West Hills,west-hills,262435.32
61,2,173,111,4529,17,79,152,38,225,286,40376,56375,North Hills,north-hills,599871.94
101,6,211,316,14301,2,9,206,316,432,533,3636,5150,West Compton,west-compton,1893489.3
0,0,1,0,1,0,0,1,0,1,1,0,0,West San Dimas,west-san-dimas,455.3
205,8,486,518,19329,4,47,948,13,807,1012,27445,41571,Bell Gardens,bell-gardens,2559095.94
163,4,459,350,17602,20,144,616,33,650,813,7160,9965,Vincent,vincent,2330475.68
6,0,18,5,117,0,21,2,0,17,23,0,0,Lake Hughes,lake-hughes,15811.38
89,0,132,142,7035,30,135,85,24,185,274,42122,53692,Granada Hills,granada-hills,931616.22
5,0,12,4,117,1,10,1,4,11,16,5054,5713,Century City,century-city,15811.38
187,20,596,404,19227,25,148,805,42,833,1020,31184,43729,Azusa,azusa,2545593.18
24,0,38,32,1073,2,15,48,5,46,70,4129,5068,Carthay,carthay,142366.66
160,8,365,356,15312,139,248,326,16,569,729,27633,35048,Temple City,temple-city,2262411.24
456,29,936,975,47655,351,158,1405,26,1484,1940,39955,51859,Rosemead,rosemead,6308891.82
78,1,198,126,8470,11,117,172,25,247,325,7534,10070,Charter Oak,charter-oak,1121581.52
191,2,483,422,12152,261,191,264,191,716,907,39028,49041,Cerritos,cerritos,1609004.68
30,0,85,56,2005,12,59,38,32,111,141,31479,35269,Sawtelle,sawtelle,265744.82
198,13,706,685,25418,6,32,1354,12,1206,1404,40734,59737,Huntington Park,huntington-park,3818214.52
